geography_code,crime_sum_2021
E01000465,166
E01000466,170
E01000467,86
E01000468,182
E01000469,85
E01000470,125
E01000471,47
E01000472,205
E01000473,205
E01000474,65
E01000475,215
E01000476,90
E01000477,123
E01000478,99
E01000479,77
E01000480,69
E01000481,110
E01000482,416
E01000483,178
E01000484,119
E01000485,61
E01000486,55
E01000487,133
E01000488,87
E01000489,109
E01000490,237
E01000491,129
E01000492,72
E01000493,63
E01000494,88
E01000495,136
E01000497,212
E01000498,109
E01000499,172
E01000501,104
E01000502,136
E01000503,115
E01000504,125
E01000505,78
E01000506,191
E01000507,122
E01000508,302
E01000509,114
E01000510,334
E01000511,115
E01000512,131
E01000513,81
E01000514,63
E01000515,161
E01000516,157
E01000517,104
E01000518,99
E01000519,101
E01000520,109
E01000521,285
E01000522,99
E01000523,269
E01000524,496
E01000525,147
E01000526,253
E01000527,170
E01000528,150
E01000530,80
E01000531,178
E01000532,143
E01000533,269
E01000534,87
E01000535,167
E01000536,105
E01000538,70
E01000539,56
E01000540,43
E01000541,101
E01000543,141
E01000544,100
E01000545,236
E01000546,183
E01000547,95
E01000548,291
E01000549,101
E01000550,206
E01000551,156
E01000552,67
E01000553,223
E01000554,121
E01000555,104
E01000556,268
E01000557,148
E01000558,132
E01000559,126
E01000560,112
E01000561,129
E01000562,49
E01000563,60
E01000564,119
E01000565,92
E01000566,53
E01000567,62
E01000568,378
E01000569,66
E01000570,87
E01000571,144
E01000572,50
E01000573,53
E01000574,46
E01000575,126
E01000576,78
E01000577,165
E01000578,233
E01000579,98
E01000580,232
E01000581,93
E01000582,124
E01000583,166
E01000584,68
E01000585,57
E01000586,370
E01000587,68
E01000588,442
E01000589,138
E01000590,64
E01000591,183
E01000592,103
E01000593,90
E01000594,127
E01000595,134
E01000596,158
E01000599,110
E01000600,755
E01000601,629
E01000602,120
E01000603,121
E01000604,100
E01000605,117
E01000606,76
E01000607,83
E01000608,226
E01000609,98
E01000610,99
E01000611,73
E01000612,82
E01000613,66
E01000615,313
E01000616,87
E01000617,103
E01000618,58
E01000619,43
E01000620,79
E01000621,102
E01000622,98
E01000623,99
E01000624,59
E01000625,79
E01000626,137
E01000627,174
E01000628,333
E01000629,106
E01000630,264
E01000631,200
E01000632,145
E01000633,224
E01000634,114
E01000635,581
E01000636,156
E01000637,86
E01000638,170
E01000639,91
E01000640,211
E01000641,159
E01000642,312
E01000643,218
E01000644,153
E01000645,51
E01000646,90
E01000647,60
E01000648,124
E01000649,58
E01000650,51
E01000651,79
E01000652,47
E01000653,57
E01000654,37
E01000655,60
E01000656,54
E01000657,128
E01000658,50
E01000659,46
E01000661,245
E01000662,98
E01000663,93
E01000664,68
E01000665,102
E01000666,86
E01000667,77
E01000668,163
E01000669,91
E01000670,107
E01000671,172
E01000672,101
E01000673,86
E01000674,129
E01000675,1052
E01000676,1224
E01000677,474
E01000678,84
E01000679,66
E01000680,60
E01000681,29
E01000682,49
E01000683,44
E01000684,29
E01000685,62
E01000686,30
E01000687,62
E01000688,40
E01000689,65
E01000690,54
E01000691,58
E01000692,108
E01000693,133
E01000694,62
E01000695,50
E01000696,88
E01000697,58
E01000698,56
E01000699,122
E01000700,77
E01000701,51
E01000702,44
E01000703,137
E01000704,87
E01000705,83
E01000706,81
E01000707,37
E01000708,67
E01000709,68
E01000710,112
E01000711,121
E01000712,95
E01000713,96
E01000714,345
E01000715,61
E01000716,48
E01000717,64
E01000718,117
E01000719,379
E01000720,264
E01000721,224
E01000722,329
E01000723,33
E01000724,143
E01000725,150
E01000726,64
E01000727,169
E01000728,242
E01000729,277
E01000730,196
E01000731,60
E01000732,51
E01000733,85
E01000734,40
E01000735,123
E01000736,79
E01000737,131
E01000738,126
E01000739,151
E01000740,323
E01000741,134
E01000742,167
E01000743,199
E01000744,156
E01000745,141
E01000746,105
E01000747,131
E01000748,69
E01000749,89
E01000750,85
E01000751,158
E01000752,56
E01000753,28
E01000754,71
E01000755,19
E01000756,132
E01000757,26
E01000758,29
E01000759,43
E01000760,66
E01000761,53
E01000762,48
E01000763,40
E01000764,85
E01000765,121
E01000766,46
E01000767,56
E01000768,41
E01000769,343
E01000770,74
E01000771,91
E01000772,41
E01000773,37
E01000774,91
E01000775,141
E01000777,63
E01000778,140
E01000779,115
E01000780,100
E01000781,85
E01000782,171
E01000783,75
E01000784,41
E01000785,101
E01000786,94
E01000787,72
E01000788,91
E01000789,183
E01000790,433
E01000791,46
E01000792,88
E01000793,30
E01000794,28
E01000795,51
E01000796,145
E01000797,174
E01000798,159
E01000799,301
E01000800,158
E01000801,107
E01000802,91
E01000803,95
E01000804,70
E01000805,107
E01000806,164
E01000807,109
E01000808,26
E01000809,29
E01000810,42
E01000811,42
E01000812,71
E01000813,62
E01000814,38
E01000815,34
E01000816,79
E01000818,47
E01000819,173
E01000820,184
E01000822,93
E01000823,124
E01000824,133
E01000825,99
E01000826,31
E01000827,55
E01000828,78
E01000829,46
E01000830,49
E01000831,40
E01000832,34
E01000833,42
E01000834,39
E01000835,218
E01000836,23
E01000837,54
E01000838,58
E01000839,37
E01000840,48
E01000841,40
E01000842,76
E01000843,84
E01000844,103
E01000845,168
E01000846,75
E01000847,129
E01000848,113
E01000849,98
E01000850,694
E01000851,348
E01000852,294
E01000853,252
E01000854,942
E01000855,761
E01000856,313
E01000857,111
E01000858,297
E01000859,179
E01000860,88
E01000861,294
E01000862,259
E01000863,1237
E01000864,101
E01000865,172
E01000866,142
E01000867,150
E01000868,100
E01000869,150
E01000870,164
E01000871,117
E01000872,190
E01000873,99
E01000874,47
E01000875,110
E01000876,135
E01000877,86
E01000878,61
E01000879,91
E01000880,57
E01000881,105
E01000882,83
E01000883,149
E01000884,61
E01000885,46
E01000886,82
E01000887,126
E01000888,129
E01000889,81
E01000890,92
E01000891,172
E01000892,126
E01000893,74
E01000894,83
E01000895,156
E01000896,89
E01000897,73
E01000898,380
E01000899,135
E01000900,150
E01000901,131
E01000902,100
E01000903,91
E01000904,287
E01000905,186
E01000906,140
E01000907,100
E01000908,86
E01000909,79
E01000910,91
E01000911,61
E01000912,176
E01000913,326
E01000914,977
E01000915,215
E01000916,351
E01000917,146
E01000918,750
E01000919,881
E01000920,219
E01000921,278
E01000922,275
E01000923,87
E01000924,85
E01000925,75
E01000926,103
E01000927,178
E01000928,243
E01000929,175
E01000930,411
E01000931,463
E01000932,107
E01000933,199
E01000934,79
E01000935,91
E01000936,130
E01000937,174
E01000938,350
E01000939,378
E01000940,91
E01000941,120
E01000942,249
E01000943,195
E01000944,105
E01000945,364
E01000946,299
E01000947,481
E01000948,168
E01000949,69
E01000950,89
E01000951,82
E01000952,114
E01000953,542
E01000954,91
E01000955,127
E01000956,352
E01000957,101
E01000958,396
E01000959,143
E01000960,233
E01000961,126
E01000962,57
E01000963,255
E01000964,74
E01000965,135
E01000966,62
E01000967,95
E01000968,111
E01000969,207
E01000970,69
E01000971,65
E01000972,263
E01000973,324
E01000974,169
E01000975,146
E01000976,247
E01000977,154
E01000978,114
E01000979,130
E01000980,82
E01000981,102
E01000982,94
E01000983,126
E01000984,110
E01000985,88
E01000986,121
E01000987,61
E01000989,52
E01000990,134
E01000991,56
E01000992,164
E01000993,101
E01000994,102
E01000995,120
E01000996,35
E01000997,74
E01000998,138
E01000999,63
E01001000,146
E01001001,137
E01001002,53
E01001003,69
E01001004,154
E01001005,144
E01001006,225
E01001007,90
E01001008,168
E01001009,147
E01001010,263
E01001011,325
E01001012,303
E01001013,754
E01001014,1192
E01001015,120
E01001016,116
E01001017,48
E01001018,56
E01001019,52
E01001020,79
E01001021,74
E01001022,54
E01001023,201
E01001024,55
E01001025,26
E01001026,58
E01001027,66
E01001028,68
E01001029,101
E01001030,47
E01001031,39
E01001032,65
E01001033,151
E01001034,89
E01001035,98
