geography_code,Borough,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,sum_2021
E01002505,Hillingdon,24,6,65,6,3,42,6,156,67,94,469
E01033587,Barking and Dagenham,50,24,59,6,1,30,6,56,79,156,467
E01000931,Camden,17,24,23,4,5,43,11,198,39,99,463
E01002080,Haringey,23,39,21,2,6,39,38,90,46,158,462
E01002406,Hillingdon,19,24,46,6,3,25,7,116,86,127,459
E01002724,Islington,20,52,19,5,0,23,17,227,14,82,459
E01001857,Hammersmith and Fulham,27,18,46,2,9,30,12,156,27,130,457
E01001340,Ealing,22,11,7,6,0,117,,8,5,280,456
E01004551,Wandsworth,27,24,21,5,2,56,16,177,5,123,456
E01002068,Haringey,11,28,4,3,3,21,31,176,68,110,455
E01004197,Tower Hamlets,25,42,33,5,5,35,23,137,55,93,453
E01004474,Wandsworth,32,28,9,4,5,45,8,213,19,90,453
E01001202,Ealing,26,22,31,4,6,43,14,142,34,127,449
E01033589,Redbridge,36,23,37,1,3,38,12,123,21,155,449
E01000141,Barnet,30,41,25,7,4,39,14,114,60,114,448
E01003921,Southwark,29,38,28,2,2,36,18,139,18,138,448
E01003964,Southwark,27,27,34,8,5,35,16,135,27,132,446
E01000378,Bexley,39,17,15,5,1,58,7,128,51,123,444
E01000588,Brent,21,27,42,1,2,33,7,158,66,85,442
E01003367,Merton,10,31,34,1,4,55,9,173,38,87,442
E01004727,Westminster,36,13,36,3,4,41,18,206,21,63,441
E01002077,Haringey,18,27,15,6,5,41,24,135,71,95,437
E01033700,Hackney,19,46,17,3,7,23,21,173,45,83,437
E01000095,Barking and Dagenham,28,27,21,8,4,25,9,140,81,92,435
E01002681,Hounslow,56,12,9,7,3,52,2,62,14,218,435
E01000790,Bromley,33,26,18,8,2,58,9,144,26,109,433
E01001042,Croydon,30,26,67,3,4,33,13,77,44,135,432
E01001558,Enfield,32,21,15,7,7,42,17,131,54,106,432
E01004699,Westminster,26,35,18,8,3,48,15,131,38,109,431
E01033207,Lambeth,26,31,25,6,6,40,12,124,27,133,430
E01002412,Hillingdon,23,12,13,3,2,51,6,59,29,231,429
E01033491,Islington,25,19,19,5,9,60,14,125,31,121,428
E01004242,Tower Hamlets,32,37,22,6,4,27,12,82,47,157,426
E01032722,Southwark,29,33,46,6,2,27,8,124,33,118,426
E01001701,Greenwich,31,14,20,11,1,44,3,54,35,212,425
